               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,metrics/starfish_mAP_50
                  47,           0.0093973,           0.0026929,                   0,             0.94465,             0.94148,             0.96803,             0.60536,            0.007127,           0.0021391,                   0,           0.0030398,           0.0030398,           0.0030398,             0.96803
                  48,           0.0093171,           0.0026811,                   0,             0.94576,             0.94152,              0.9693,             0.60985,           0.0071336,           0.0021285,                   0,           0.0030329,           0.0030329,           0.0030329,              0.9693
                  49,           0.0093295,           0.0027155,                   0,             0.93625,             0.95022,             0.96995,             0.61315,           0.0070845,           0.0021104,                   0,           0.0030258,           0.0030258,           0.0030258,             0.96995
                  50,           0.0098739,           0.0026295,                   0,             0.94499,             0.94898,             0.97108,             0.60939,           0.0070921,           0.0021044,                   0,           0.0030187,           0.0030187,           0.0030187,             0.97108
                  51,           0.0091944,            0.002591,                   0,              0.9547,             0.94396,             0.97219,             0.61256,           0.0069999,           0.0020987,                   0,           0.0030114,           0.0030114,           0.0030114,             0.97219
                  52,           0.0090943,            0.002544,                   0,             0.94823,             0.94401,             0.97224,             0.61453,           0.0070046,           0.0020913,                   0,           0.0030039,           0.0030039,           0.0030039,             0.97224
                  53,           0.0090315,           0.0025599,                   0,              0.9497,             0.93972,             0.96985,             0.61269,           0.0070186,           0.0020939,                   0,           0.0029964,           0.0029964,           0.0029964,             0.96985
                  54,           0.0090639,           0.0025945,                   0,             0.95955,              0.9353,             0.97243,             0.61673,           0.0070437,           0.0020826,                   0,           0.0029886,           0.0029886,           0.0029886,             0.97243
                  55,           0.0090107,           0.0024616,                   0,             0.95425,             0.93437,             0.97017,             0.61502,           0.0070048,           0.0020893,                   0,           0.0029808,           0.0029808,           0.0029808,             0.97017
                  56,           0.0089695,           0.0025528,                   0,             0.94197,              0.9494,              0.9716,             0.61761,           0.0069499,           0.0020815,                   0,           0.0029728,           0.0029728,           0.0029728,              0.9716
                  57,           0.0089026,           0.0025044,                   0,             0.94337,             0.95343,             0.97381,             0.62164,           0.0069018,           0.0020692,                   0,           0.0029648,           0.0029648,           0.0029648,             0.97381
                  58,           0.0089476,           0.0025571,                   0,             0.95927,              0.9382,             0.97389,             0.62267,           0.0068613,           0.0020581,                   0,           0.0029565,           0.0029565,           0.0029565,             0.97389
                  59,           0.0087762,           0.0025128,                   0,             0.95691,             0.93949,             0.97453,             0.62484,            0.006947,           0.0020634,                   0,           0.0029482,           0.0029482,           0.0029482,             0.97453
                  60,           0.0087111,           0.0025128,                   0,             0.94305,             0.95462,             0.97447,             0.62157,           0.0069554,           0.0020701,                   0,           0.0029397,           0.0029397,           0.0029397,             0.97447
                  61,           0.0086058,           0.0025161,                   0,             0.95342,             0.94226,             0.97345,             0.62222,           0.0069512,           0.0020715,                   0,           0.0029311,           0.0029311,           0.0029311,             0.97345
                  62,            0.008648,           0.0025494,                   0,             0.96565,             0.93447,              0.9754,             0.63004,           0.0068407,           0.0020527,                   0,           0.0029224,           0.0029224,           0.0029224,              0.9754
                  63,           0.0089036,           0.0024646,                   0,             0.95224,              0.9509,             0.97715,             0.62952,           0.0068583,           0.0020436,                   0,           0.0029135,           0.0029135,           0.0029135,             0.97715
